Rank,Model,F1,Accuracy,AUC,LR,Batch,Epochs,Dropout
1,bert-base-uncased,0.935483870967742,0.925925925925926,0.9326788218793828,5e-05,16,7,0.1
2,bert-base-uncased,0.935483870967742,0.925925925925926,0.9256661991584852,5e-05,16,10,0.2
3,bert-base-uncased,0.9333333333333332,0.9444444444444444,0.9,2e-05,8,5,0.3
4,bert-base-uncased,0.9333333333333332,0.9444444444444444,0.95,5e-05,16,7,0.2
5,distilbert-base-uncased,0.9333333333333332,0.9444444444444444,0.9375,2e-05,16,7,0.1
6,bert-base-uncased,0.9265536723163842,0.9182389937106918,0.9712848799480857,5e-05,8,7,0.1
7,bert-base-uncased,0.9222222222222224,0.9119496855345912,0.9669046073977936,5e-05,8,7,0.2
8,bert-base-uncased,0.9213483146067416,0.9119496855345912,0.9539260220635952,5e-05,16,10,0.2
9,bert-base-uncased,0.9206349206349206,0.9074074074074074,0.9368863955119214,5e-05,8,7,0.2
10,bert-base-uncased,0.9206349206349206,0.9074074074074074,0.9144460028050492,2e-05,8,10,0.1
